iteration,norm
182,153840959714345947313971930406146303033648781733780258816.000000000000000
183,307295961089574240443432304788241117379718915324540616704.000000000000000
184,613819141362795777542679850438903688799777848865044037632.000000000000000
185,1226090984529553669218621604470445294173503134761689808896.000000000000000
186,2449083882915352012973212726307527865809791993672930164736.000000000000000
187,4891964580685259183318910079315076582569473714851609051136.000000000000000
188,9771508698439713179791273313760164362689236787111319830528.000000000000000
189,19518148151448492096606689552992827447213289762510799372288.000000000000000
190,38986500903411804252493950143836631071942326928418449391616.000000000000000
191,77873296649779702198434632069017152634547731984480496254976.000000000000000
192,155546953183865274882443878773417410427237049641346655059968.000000000000000
193,310694164354416429361976823579153595727653873215273586130944.000000000000000
194,620587916744978998729735685124876378299474962478731014176768.000000000000000
195,1239573144908428288889588421253087913475729146728602532839424.000000000000000
196,2475937165720731027675907952032833869146377172568466371117056.000000000000000
197,4945448553995996449109806852471728916480453128692870177357824.000000000000000
198,9878030423542244809974700787752750558735729950154309857443840.000000000000000
199,19730297076394742052033273781343700132194130451167911146946560.000000000000000
200,39409005521325599810652423512131406052641134415039631563161600.000000000000000
201,78714711024183997197699595620336993011032002266110448640196608.000000000000000
202,157222575344796027403208493507800085715770284266984491439882240.000000000000000
203,314030961628239112138606649475890238795808362223377175164223488.000000000000000
204,627232549163487090351004560199604746256950246110251891826884608.000000000000000
205,1252804348835957642904112887612318029305596871079550493407576064.000000000000000
206,2502283177267970387026767095227537391755811041241781350688620544.000000000000000
207,4997907233091765092949256994000694762034728424586177953564459008.000000000000000
208,9982479986094314464589388113536551569838229378464252628289191936.000000000000000
209,19938258385053303339699154273693503431348365532110645583929147392.000000000000000
210,39823048035391385370054317232015244158552804038432457785828442112.000000000000000
211,79539026864513346191568319433565554844522117699516564991819907072.000000000000000
212,158863650605038724334333203516504343301255291051907934567249477632.000000000000000
213,317297963051730247245508439714399338215539235112652412043774656512.000000000000000
214,633736180966833228396347264684807323136573803194911062071319724032.000000000000000
215,1265750723972914284007612980658408490204450236272656787809939488768.000000000000000
216,2528053856454046207915602186618454563884461757834075306490106740736.000000000000000
217,5049203858190245780294989238775619853864397262567223067130135052288.000000000000000
218,10084582581876370775939461014292749038389257483718394019246740865024.000000000000000
219,20141479880570615304249574908443466564173534873000132434441243983872.000000000000000
220,40227518836655725639322708475715617324014152078942076274723394682880.000000000000000
221,80344014445102088943216111764304332633972492139712498918536651997184.000000000000000
222,160465698342318050606833093004590572465080624483689336606896049618944.000000000000000
223,320486164725749266183631682344642095433812272276979375025736673918976.000000000000000
224,640080718418329449053270138150475352755355356513240322673521033478144.000000000000000
225,1278375909702771774098460337069938727133776464230203749830886508462080.000000000000000
226,2553176133210644178509842810708631553078798168860568535799121712250880.000000000000000
227,5099191586352888893426690093356442741619443206205668511864633870516224.000000000000000
228,10184043109075727542524940549828280345155480924663782839304574277255168.000000000000000
229,20339368506644810584332881064421798315541555805299127977977966636302336.000000000000000
230,40621226065260024206130943081692658857197929810893008630877123023732736.000000000000000
231,81127278467321249466093888380670254713408069427105265265668437661712384.000000000000000
232,162023904631521451627623525698725216433433704060973780869987745897906176.000000000000000
233,323585891801782169705231168986386554585185439024294819143844186902495232.000000000000000
234,646246717134055115444720642655337313572715532403757150244077636836917248.000000000000000
235,1290640826492698588063200534129123838885697235197370541228264503960928256.000000000000000
236,2577571464138114417536730317220045999195214820940992532136376720754212864.000000000000000
237,5147712556460078121887283631392271926162694850510401717961528982552707072.000000000000000
238,10280544285417370686969877627434865109852384573857189680805883657796452352.000000000000000
239,20531286555678754146513213957534341597539623068158901894720092628408336384.000000000000000
240,41002887973586411690177983837038266941175557280357698735475465519263383552.000000000000000
241,81886242677656192493218272966856363380081819927503677797606522645504851968.000000000000000
242,163533091260618088527196992982155074305897942795343831010996763456364871680.000000000000000
243,326586736065654584295151865830661342190160220442487226541630732662917300224.000000000000000
244,652213256338630062311280913228982392947643135804968029693566333814241755136.000000000000000
245,1302503422550832182240132102635691244688355487866177258310244621778144985088.000000000000000
246,2601155322049020042189402962474147739965018651557824732025973275685617139712.000000000000000
247,5194596860630638942188689697366944215016233799394602303534521417881326977024.000000000000000
