iteration,norm
338,50139820049492488283270267599404568043061248.000000000000000
339,66849409971468289487608697229745026236416000.000000000000000
340,89127642269723497857810201164400542141644800.000000000000000
341,118830326345429384552567931404471019293900800.000000000000000
342,158431740563372151119044910404116543916998656.000000000000000
343,211230744091593426270571895466615057221156864.000000000000000
344,281625577939623649582992455473450801654923264.000000000000000
345,375480246704855395615426858405701687456038912.000000000000000
346,500613001418221098488807380178223317683011584.000000000000000
347,667447615185037925095555483484916287168053248.000000000000000
348,889881704339997541037923653169679093502836736.000000000000000
349,1186444428246656994483102556848932404559085568.000000000000000
350,1581840006816389176011972361735566780721528832.000000000000000
351,2109005634391340330295189280816121924437409792.000000000000000
352,2811855219143118521586245558784006099977633792.000000000000000
353,3748937508150866663810434470385051800302518272.000000000000000
354,4998313329011605343963189380256173734278201344.000000000000000
355,6664058234438952781210206820540149083720908800.000000000000000
356,8884932236695715178592875445087226876192096256.000000000000000
357,11845938843131020251894331052351131239246200832.000000000000000
358,15793736290768730424257069334578883789131350016.000000000000000
359,21057184776745930355875622241185227967932923904.000000000000000
360,28074741324260548484726737628070671372909543424.000000000000000
361,37430984351199194704931291505281308700153217024.000000000000000
362,49905310539124117474315974334795944183990321152.000000000000000
363,66536860588411357912237668257660644732277096448.000000000000000
364,88711082359444601361897384420342631148761907200.000000000000000
365,118275142358658715951937845286593424920833687552.000000000000000
366,157691799682583680140071759987306487062592487424.000000000000000
367,210244560573431725697789939248995579106374451200.000000000000000
368,280311203573390432906686383163580380965918212096.000000000000000
369,373728460749684612848149532247250291584174915584.000000000000000
370,498278234051637100579702119701562071585109573632.000000000000000
371,664335850126483038684507326269331663707009187840.000000000000000
372,885734355248476473848505467141355666913257062400.000000000000000
373,1180916848863831632259016780451763130824296235008.000000000000000
374,1574472848822685181882540846517068810122327752704.000000000000000
375,2099186672491431836917345632387231202025207234560.000000000000000
376,2798768470588985376814567837909658324772333813760.000000000000000
377,3731495417889384396361579877576015396643488661504.000000000000000
378,4975066384134031188171680862610067447513127845888.000000000000000
379,6633074495616197106755307445114590961947799191552.000000000000000
380,8843636773874953194949294475816515303342618968064.000000000000000
381,11790899730104355179346824639741022567189507473408.000000000000000
382,15720379371285862038498177591460057572460952813568.000000000000000
383,20959413494399017265574754977484379968842925867008.000000000000000
384,27944430017299811401700617141475010740704465911808.000000000000000
385,37257302895783605164501392885731920907795779551232.000000000000000
386,49673824206013287007199550866454195466487306649600.000000000000000
387,66228330293451035320910105935354750217728917766144.000000000000000
388,88299865584192540196455356412932999575208055537664.000000000000000
389,117727061823972814655412010438436845889241684639744.000000000000000
390,156961302615613684069115513552216371895014644514816.000000000000000
391,209270932439445695620271906924832645422886361759744.000000000000000
392,279013521546200769268430079154297465116660793868288.000000000000000
393,371998867434288347735054322917760833825669883363328.000000000000000
394,495972972341385831302425870504087855867925666725888.000000000000000
395,661263313966873603228744818086579907643713085505536.000000000000000
396,881639163019047605929305130852804294232459593121792.000000000000000
397,1175458615456741390335644528628802037880778464952320.000000000000000
398,1567197891804931980152745857848242048659356051832832.000000000000000
399,2089490300351326611437358944699821154973440614072320.000000000000000
400,2785844718154751367261494955297392181267960256528384.000000000000000
401,3714270050481352892097503551044972998255001603145728.000000000000000
402,4952107601117961987851045863921185902904340809515008.000000000000000
403,6602473910132370101998919549059610549093676896747520.000000000000000
404,8802850774497333684434914663356892214244042795384832.000000000000000
405,11736538036606855935290765521162992743503712927875072.000000000000000
406,15647923206736448347409347684538859961938605074546688.000000000000000
407,20862839944495004236209718292734144569578397739515904.000000000000000
408,27815711348732153015174708746209753114037770879238144.000000000000000
409,37085739210059402815319183588081219124817663671402496.000000000000000
410,49445153949306821489949281474354380542151684555538432.000000000000000
411,65923544674712839098686188672069650401273397754462208.000000000000000
412,87893628337458091472801432083722013792797282959097856.000000000000000
413,117185602939932776017773995814121729368029722637762560.000000000000000
414,156239610934073370645308373471771468501444425127297024.000000000000000
415,208309013702222473664270771837534825893174379020288000.000000000000000
416,277731410812689980447963656163069579182329344527695872.000000000000000
417,370289981199305019317050032080622835358704193685684224.000000000000000
418,493695247656409207844004571568004371212652580740005888.000000000000000
419,658227397874201890740926570618134754881440726636298240.000000000000000
420,877592670365667610459706860881789843473773632105218048.000000000000000
421,1170065146270024731903259387212589602069561111492952064.000000000000000
422,1560009063706276456876482625043759830541196662574940160.000000000000000
423,2079908470728957605624577989753068283576498040017518592.000000000000000
424,2773073296724802521953009341323746035851312116149518336.000000000000000
425,3697247271073367690048760123280426328700166202128859136.000000000000000
426,4929418246233907763630425177117696408711067710517149696.000000000000000
427,6572231648694891996547168880348795869244633031026671616.000000000000000
428,8762541329798979405087347692271006318836316339152355328.000000000000000
429,11682810144625373622684045253241982928329116343678795776.000000000000000
430,15576309983889273206629311977880369474054407501436157952.000000000000000
431,20767387497598004352448858185727588050110776877084835840.000000000000000
432,27688483747261259486301805698234522314463482263625531392.000000000000000
433,36916158660472551562073892082765100863071372350568005632.000000000000000
434,49219121308324652513188840079869881081384587983673360384.000000000000000
435,65622267173643462479020927037896380652581754095213215744.000000000000000
436,87492057044110241487881288513551410476386037062673891328.000000000000000
437,116650350033953318760655637353143670770048521541674598400.000000000000000
438,155526173617235359636029281650953651057849796108604145664.000000000000000
439,207358073910514586605138405818946524656558781815943331840.000000000000000
440,276463903047626127101042319406056512402885626074610270208.000000000000000
441,368600518361287551846346470237390782904139665255342014464.000000000000000
442,491443358225067967410750871822082725462705875805668376576.000000000000000
443,655225845785371908688832795488799841153209652541168549888.000000000000000
444,873591886347737953817822130697527082028186420365941014528.000000000000000
445,1164732476050863567670809550129303855293018792117953101824.000000000000000
446,1552901107496229394718089863717894819778400572462568833024.000000000000000
447,2070434213883853255315294580725671324775477836721653022720.000000000000000
448,2760444965720335276688468259199362336865816528801648082944.000000000000000
449,3680414828196232470391145970987771040059323476865412235264.000000000000000
